name,phone,address,website,description
FAMILY VIOLENCE PREVENTION SERVICES,210-930-3669,7911 Broadway,,"fvps.org Offers residential and non-residential clients shel- ter, transitional housing, counseling for adults, chil- dren, families, and legal services. These services help individuals and families recovery from the pain and longer-term effects of domestic violence."
GEORGE GERVIN YOUTH CENTER:,,,,
BASIC CENTER,210-568-8800,6944 South Sunbelt Drive,,"Pregnant, homeless, and/or runaway individuals (ages 13-17) looking to continue their education in a safe and supportive environment. The Basic Pro- gram provides therapeutic and supportive services and acts as a short- and long-term residential care facility to those whose needs are not adequately met in their current family structure or other shel- ters."
HAVEN FOR HOPE	,210-220-2100,1 Haven For Hope Way,,havenforhope.org Transformational campus providing a system of care for individuals and families experiencing homelessness in Bexar County. Shelter is provided while clients work to address issues that have led to their homelessness. Program enrollment is on a first -come-first-served basis. Intake hours are Monday- Friday: 7:00 a.m.-3:00 p.m.	24
MAGDALENA HOUSE,210-561-0505,,,"maghouse.org Neighborhood of transitional homes in San Antonio that serves mothers and their children who have fled dangerous and abusive lives. Utilizing a dual- generation approach, we provide safe shelter, basic needs, educational programming, and therapeutic services."
"ROY MAAS’ YOUTH ALTERNATIVES, INC.",210-340-8077,3103 West Ave.,,"rmya.org Creates brighter futures for children in crisis by pro- moting individual success and healthy relationships in a safe, healing environment, giving children and families the tools to end the cycle of abuse."
TURNINGPOINT 210-349-3610,,"Former foster care youth and homeless community youth (ages 18-24) live independently in a home with roommates. They receive professional case management, weekly counseling, job and life skills, educational assistance, and resource referrals, to help them meet their goals and leave the program ready to become productive members of our com- munity.",,
SALVATION ARMY,210-352-2000,,,salvationarmysanantonio.org
ADULT REHABILITATION CENTER 210-223-6877,,,,"Provides assistance for adults who have lost the ability to cope with their problems and provide for themselves. Each center offers residential housing, work, and group and individual therapy, all in a clean, wholesome environment. The services re- ceived prepare participants to re-enter society and return to gainful employment."
DAVE COY SHELTER FOR MEN 210-226-2291,,226 Nolan St.,,Emergency shelter and transitional housing oppor- tunities for men (ages 18+) experiencing chronic homelessness and/or lack a stable housing environ- ment. Participants receive three meals daily and work with a case manager to identify and coordi- nate available educational and career development opportunities.
SAMMINISTRIES,210-979-6188,,,"samm.org 1919 NW Loop 410, Suite 100 The Transitional Living and Learning Center is a 40- family home that provides housing, support, and resources to families who show a commitment to gaining self-sufficiency as they work to overcome homelessness."
STRONG FOUNDATION MINISTRIES,210-641-4357,414 N. Hackberry St.,,strongfoundation.org Emergency and temporary housing for homeless families with children
VISITATION HOUSE MINISTRIES,210-735-6910,830 W. Mulberry Ave.,,"visitationhouseministries.org Transitional housing for women and children (2- year program), call for appointment"
YOUTH CENTER OF TEXAS,210-417-5077,,,"youthcenteroftexas.org (24-Hour Hotline) 3730 East IH-10, Suite B Transitional living program for female survivors of child sex trafficking and sexual exploitation (ages 18-22)"
UTILITY ASSISTANCE,,,,Temporary financial assistance to reduce the costs associated with home utilities
CHRISTIAN ASSISTANCE MINISTRY,210-223-4099,110 McCullough Ave,,"christianassistanceministry.org Financial assistance for utilities provided to families with proof of resi- dence. Application, ID & Social Security card required. CAM Downtown CAM Northwest 210-697-5771 5084 DeZavala"
ELLA AUSTIN COMMUNITY CENTER,210-224.2351,1023 N. Pine St.,,ellaaustin.org Multi-social service agency offering utility assistance to individuals and families in crisis
CLOTHING,,,,
"AGAPE MINISTRY, INC.",210-590-6655,,,theagapeministryinc.org Food Pantry & Clothes Closet
CATHOLIC CHARITIES,210-222-1294,,,ccaosa.org Clothes Closet
CHRISTIAN ASSISTANCE MINISTRY,210-697-5771,,,christianassistanceministry.org Serving individuals and families in need of assistance 5084 DeZavala
DEPAUL FAMILY CENTER,210-334-2300,7607 Somerset Rd.,,adssa.org/social-services Clothing assistance by appointment
DRESS FOR SUCCESS,210-737-1515,600 N. Frio Street,,"dfssanantonio.org Professional attire, support network, and developmental tools for women. Monday-Thursday 8:30 a.m.-4:30 p.m."
ELLA AUSTIN COMMUNITY CENTER,210-224.2351,1023 N. Pine St.,,ellaaustin.org Multi-social service agency offering clothing assistance to individuals and families in crisis.
INNER CITY DEVELOPMENT,210-224-7239,,,"innercitydevelopment.org 1300 Chihuahua Office: Monday-Friday, 9:00 a.m.-12:00 p.m. Access to groceries for families in crisis, sack lunches, and prepared bags of clothing provided to homeless individuals. Individual service hours may vary."
LITTLE CHURCH OF LA VILLITA,210-226-3593,"418 Villita St., Building 13",,"Provides free emergency food and clothing to those in need, including seniors, the disabled, and low-income families with children. Supports all of Bexar County."
OPERATION SCHOOL BELL,210-732-1200,2611 West Ave.,,Dressing students in need (K-5) in San Antonio area Title I elementary schools
PRESA COMMUNITY CENTER,210-532-5295,,,presa.org 3721 S. Presa
CAREER CLOSET,,,,"No cost, work-appropriate clothing available to men and women actively seeking employment and recently hired who need to add a few items that will make a difference."
SA HOPE CENTER,210-732-3776,,,"sahopecenter.org 321 N. General McMullen Mentorship program working to enhance the lives of working, low-income individuals and families to become food secure and increasingly sustainable on a long-term basis. Food pantry, clothing assis- tance, and emergency diaper assistance available to those that qualify. Contact for enrollment re- quirements."
SOCIETY OF ST. VINCENT DE PAUL,210-225-7837,,,svdpsa.org Direct support to our community's most vulnerable residents with clothing needs. Call for location op- tions and hours of operation.
DENTAL,,,,
CENTROMED,210-922-7000,,,"centromedsa.com (Schedule an appointment) Integrated primary care clinic that provides accessi- ble services of superior quality. Multiple locations available. Medicaid, CHIP, and private insurance accepted."
COMMUNICARE ,210-233-7000,,,"communicaresa.org Provides comprehensive dental care for children and adults. Services include preventative care and restorative care, dental disease treatments, and oral hygiene education."
EDUCATION & CAREER DEVELOPMENT,,,,
DRESS FOR SUCCESS,210-737-1515,600 N. Frio Street Developmental tools for women,,dfssanantonio.org Monday-Thursday 8:30 a.m.-4:30 p.m.
HEALY-MURPHY CENTER,210-223-2944,618 Live Oak St.,,healymurphy.org Free Texas Certification of High School Equivalency (GED) test preparation classes and case manage- ment. Class participants with high attendance are eligible for financial assistance for GED test fees. Monday-Friday: 8:00 a.m.-11:30 a.m. (Extended hours available as needed). Age requirements: Fe- males (ages 18-25; court ordered: ages 16-25); Males (ages 18-21; court ordered: ages 16-21). Call to register.
MADONNA NEIGHBORHOOD CENTER,210-432-2374,1906 Castroville Rd.,,"madonnacentersa.org In partnership with United Way, the Dual Genera- tion Initiative, works to remove barriers for families with children (ages 0-10) who are wanting to further their education and become self-sufficient. The Ma- donna Center is focusing on promoting mental health, well-being, self-efficacy and domestic vio- lence prevention."
SA YOUTH,210-223-3131,1215 W. Poplar St.,,sanantonioyouth.org Helping San Antonio’s low-income children stay in school and helping young adults who have quit school gain a second chance through high-school credit recovery and workforce training.
FINANCIAL,,,,
CATHOLIC CHARITIES,210-222-1294,,,ccaosa.org One-time emergency financial assistance
CHRISTIAN ASSISTANCE MINISTRY,210-697-5771,,,"christianassistanceministry.org Families with Proof of Residence can receive finan- cial assistance for medical prescriptions or utilities (application, ID & Social Security card required) CAM Northwest 5084 DeZavala"
DEPAUL FAMILY CENTER,210-334-2300,7607 Somerset Rd.,,adssa.org/social-services Limited monetary assistance to individuals that meet financial eligibility criteria. By appointment only.
FAMILY SERVICE ASSOCIATION	,210-431-4425,,,family-service.org
EYEGLASSES & OPTICAL,,,,
PREVENT BLINDNESS - TEXAS,210-236-7360,,,"texas.preventblindness.org 1600 NE Interstate 410, Suite 125 Financial and Housing Recovery Center offers free one-on-one financial counseling."
SOCIETY OF ST. VINCENT DE PAUL,210-225-7837,,,svdpsa.org Family and Community Assistance Program offers limited financial assistance is provided for expenses such as rent to very low-income individuals that qualify.
FOOD & GROCERIES,,,,
"AGAPE MINISTRY, INC.",210-590-6655,,,theagapeministryinc.org Food Pantry
ALAMO CENTER EDUCATION & TREATMENT,210-824-5537,5018 San Pedro,,alamocenter.org The Alamo Center Neighborhood Food Pantry is free and available to anyone in need of food assis- tance. Completion of intake form required prior to food distribution. Monday-Friday: 10:00 a.m.-3:00 p.m.
ANTIOCH BAPTIST CHURCH,210-225-2452,1001 N. Walters St.,,antiochsat.org/food-bank Food bank ministry
CATHOLIC CHARITIES,210-222-1294,,,ccaosa.org
ST. STEVEN'S CARE CENTER,210-226-6178,(Schedule an appointment) 2127 S. Zarzamora St.,,Monday-Friday: 8:30 a.m.-5:00 p.m.
GUADALUPE COMMUNITY CENTER 210-226-6178,,1801 Cesar Chavez,,"SNAP Assistance, Project Hope – First Monday of every month, low-income seniors can receive food"
CATHOLIC WORKER HOUSE,210-224-7736,"Safe haven for homeless seniors (ages 50+) with access to meals, gardening, laundry facilities, phone, email, games and movies. (Limited services provided on Fridays in the courtyard.) Monday- Thursday: 8:00 a.m.-1:00 p.m., Friday: 9:00 a.m.- 10:30 a.m.",,sa-catholicworker.org 626 Nolan
CHRISTIAN ASSISTANCE MINISTRY,210-223-4099,110 McCullough Ave,,"christianassistanceministry.org Serving individuals and families in need of assis- tance CAM Downtown Sack lunches provided to homeless, eligible fami- lies with proof of residence can receive groceries. Hours: Monday-Thursday: 9:30 a.m.-3:00 p.m., Fri- day: 9:30 a.m.-11:30 a.m. (Services may have spe- cific hours of availability.) CAM Northwest 210-697-5771 5084 DeZavala Sack lunches, Monday-Thursday 9:00 a.m.-2:00 p.m."
CORAZON SAN ANTONIO,210.226.8341,,,corazonsa.org  x318
DAY CENTER & RESOURCE HUB,,504 Avenue E,,"Monday-Friday: 11:00 a.m.-5:00 p.m. (Lunch served at noon.) Warm meal, Showers, ID Recovery, Street Outreach, Case Management"
DEPAUL FAMILY CENTER,210-334-2300,7607 Somerset Rd.,,"adssa.org/social-services Food assistance through our in-house food pantry, free groceries to financially eligible individuals (ages 60+). By appointment only."
ELLA AUSTIN COMMUNITY CENTER,210-224.2351,1023 N. Pine St.,,"ellaaustin.org Multi-social service agency offering assistance to individuals and families in crisis of food, clothing, and utilities assistance, senior nutrition, senior activ- ities and volunteer income tax assistance programs."
INMAN CHRISTIAN CENTER,210-222-9641,1214 Colima Street,,inmancenter.org Neighborhood-based community center serving the needs of low-income individuals and families in the inner city of San Antonio including emergency food assistance
INNER CITY DEVELOPMENT,210-224-7239,,,"innercitydevelopment.org 1300 Chihuahua Office: Monday-Friday, 9:00 a.m.-12:00 p.m. Access to groceries for families in crisis, sack lunch- es and prepared bags of clothing provided to homeless individuals. Individual service hours may vary."
LITTLE CHURCH OF LA VILLITA,210-226-3593,"418 Villita St., Building 13",,"Provides free emergency food and clothing to those in need, including seniors, the disabled, and low-income families with children."
MEAL ON WHEELS,210-735-5115,,,"mowsatx.org Free nutritious meals delivered each weekday to eligible senior and disabled individuals with an aim to eliminate hunger, alleviate isolation, and foster independence among seniors"
METROPOLITAN COMMUNITY CHURCH,210-472-3597,611 E Myrtle Street,,mccofsanantonio.com/foodpantry Food Pantry Hours: Saturdays following the 1st and 3rd Thursday of each month (8:00 a.m.-12:00 p.m.). Emergency food distribution is available Monday- Friday by appointment only.
SA HOPE CENTER,210-732-3776,,,"sahopecenter.org 321 N. General McMullen Mentorship program working to enhance the lives of working, low-income individuals and families to become food secure and increasingly sustainable on a long-term basis. Food pantry, clothing assis- tance, and emergency diaper assistance available to those that qualify. Contact for enrollment re- quirements."
SALVATION ARMY,210-352-2020,,,salvationarmysanantonio.org 910 N. Flores
SAN ANTONIO FOOD BANK,210-431-8326,,,"safoodbank.org Assistance with SNAP & other benefits applications, as well as finding immediate food assistance and job training opportunities. Find Food: freshtrak.com"
SENIOR NUTRITION PROGRAM,210-207-7172,,,"sanantonio.gov Provides senior adults (ages 60+) and their spouses, in Bexar County, with a free nutritionally balanced lunchtime meal in a congregate setting with sup- portive services. Call for center locations and addi- tional program information. Monday-Friday: 9:00 a.m.-1:00 p.m."
SOCIETY OF ST. VINCENT DE PAUL,210-225-7837,,,svdpsa.org Direct support to our community's most vulnerable residents with essential food needs. Call for location options and hours of operation.
LAUNDRY,,,,
CATHOLIC WORKER HOUSE,210-224-7736,"Safe haven for homeless individuals (age 50+) with access to meals, gardening, laundry facilities, phone, email, games and movies. (Limited services provided on Fridays in the courtyard.) Monday- Thursday: 8:00 a.m.-1:00 p.m., Friday: 9:00 a.m.- 10:30 a.m.",,sa-catholicworker.org 626 Nolan
LEGAL,,,,
BEXAR COUNTY GUARDIANSHIP PROGRAM,210-335-3744,,,"233 N. Pecos, Suite 320-G Guardianship is a legal process utilized when a per- son can no longer make or communicate safe or sound decisions. Call to discuss referral."
EQUAL JUSTICE CENTER,210-308-6222,,,"equaljusticecenter.org Nonprofit organization that provides legal assis- tance to qualified, low-income individuals on the topics of workplace rights and rights to work."
DACA APPLICATIONS 888-670-6854,,,,Assistance with preparation and submission of De- ferred Action for Childhood Arrivals (DACA) appli- cation.
TEXAS RIOGRANDE LEGAL AID,833-329-8752,,,"trla.org Provides free legal counsel, representation, and ed- ucational services to people with low-income in 68 Texas counties. Monday-Friday: 9:00 a.m.-5:00 p.m."
DRIVER'S LICENSE RESTORATION CLINIC,,1 Haven for Hope Way,,Serves homeless and low-income veterans. Staff work to remove barriers to obtaining driver's licens- es. At 1:30 p.m. every Friday; appointments encour- aged.
LEGAL AID FOR VETERANS,,,,"Audie L. Murphy Hospital (Rec. Room) 7400 Merton Minter Serves low-income veterans and direct dependents with legal issues related to housing, foreclosure, veterans benefits, SNAP/TANF, family law, Social Security benefits, Medicaid/Medicare/CHIP, con- sumer law, and other legal issues. First Wednesday of the month; 9:00 a.m.-12:00 p.m."
TRANSPORTATION,,,,
PRESA COMMUNITY CENTER,210-532-5554,Transportation services for those who are unable to drive or use public transportation. Eligible individu- als (ages 60+) and individuals currently disabled. $5 per trip/ $10 round trip. Rides available Monday- Friday.,,presa.org 3721 S. Presa (Schedule at least two weeks in advance.)
VIA BUS,210-362-2020,,,"viainfo.net Reduced rates are available for qualifying students, seniors, children, disabled, veteran, U.S. miliary, or Medicare recipients."
BUS ROUTING & SCHEDULING 210-362-2020,,Monday-Friday: 6:00 a.m.-10:00 p.m. Saturday: 7:00 a.m.-7:00 p.m.,,Sunday: 8:00 a.m.-5:00 p.m.
CENTRO PLAZA 210-299-5802,,909 W. Houston St.,,"Monday-Friday: 8:00 a.m.-1:00 p.m., 2:30 p.m.-5:00 p.m."
ELLIS ALLEY INFORMATION CENTER 210-299-1213,,212 Chestnut St.,,"Monday-Friday: 8:00 a.m.-1:00 p.m., 2:30 p.m.-5:00 p.m."
VIA METRO CENTER 210-362-2006,,1021 San Pedro,,Monday-Friday: 8:00 a.m.-5:00 p.m.
MISCELLANEOUS,,,,
CORAZON SAN ANTONIO,210.226.8341,,,corazonsa.org x318
DAY CENTER & RESOURCE HUB,,504 Avenue E,,"Monday-Friday: 11:00 a.m.-5:00 p.m. (Lunch served at noon.) Warm meal, Showers, ID Recovery, Street Outreach, Case Management"
MEDICAL CENTER,,,,230 E. Travis This clinic is 100% free and offers some pharmaceu- tical needs. Sunday: 8:00 a.m.-11:30 a.m. Wednesday: 4:30 p.m.-6:30 p.m.
DEPAUL FAMILY CENTER,210-334-2300,7607 Somerset Rd.,,"adssa.org/social-services Help navigating public assistance programs (i.e. Medicare, Medicaid, SSI, Care Link, food stamps and child care). By appointment only."
ELLA AUSTIN COMMUNITY CENTER,210-224.2351,1023 N. Pine St.,,"ellaaustin.org Multi-social service agency offering affordable day care, parenting classes, youth and family services including after school and summer youth programs, assistance to individuals and families in crisis of food, clothing, and utilities assistance, senior nutri- tion, senior activities and volunteer income tax as- sistance programs."
FAMILY SERVICE ASSOCIATION	,210-299-2400,,,family-service.org
MARGRET’S PLACE,,,,"Emergency Pantry providing access to basic items, such as soap, deodorant, diapers, and school sup- plies."
PROJECT MEND,210-223-6363,5015 Wurzbach Road,,"projectmend.org Transforming lives through medical equipment reuse such as walk- ers, shower chairs, and canes."
UNITED WAY,,"Uniting people to address our community’s most complex issues. 211 is a free, anonymous social service hotline that helps people find information about local resources in their community.",,uwsatx.org 211
DEAF & HARD OF HEARING,,,,
DEAF COUNSELING CENTER,240-380-2577,,,"deafcounseling.com (Videophone) Deaf-owned and operated therapy, counseling, coaching, assess- ments and psychiatric and consulting practice staffed by Deaf li- censed professional therapists."
NATIONAL DEAF THERAPY $,,,,nationaldeaftherapy.com Full-service mental health support for the deaf community offering American Sign Language (ASL) therapy sessions
DOMESTIC VIOLENCE,,,,
BEXAR COUNTY FAMILY JUSTICE CENTER ,210-631-0100,,,"bcfjc.org 1- 126 E. Nueva, 2nd Floor Coordinated services for victims of domestic and family violence in- cluding Criminal Justice Intervention, Civil Legal Services, Child Care, Counseling Services, and Life Skills"
FAMILY VIOLENCE PREVENTION SERVICES,210-930-3669,7911 Broadway,,"fvps.org Offers residential and non-residential clients shelter, transitional housing, counseling for adults, children, families, and legal services. These services help individuals and families recovery from the pain and longer-term effects of domestic violence."
MAGDALENA HOUSE,210-561-0505,,,"maghouse.org Transitional homes in San Antonio that serves mothers and their chil- dren who have fled dangerous and abusive lives. Utilizing a dual- generation approach, we provide safe shelter, basic needs, educa- tional programming, and therapeutic services."
TEXAS ADVOCACY PROJECT,800-374-4673,,,"texasadvocacyproject.org Free legal services and access to the justice system for domestic violence survivors. Provides advice over the phone, support with do-it-yourself legal filing processes, and complete client representa- tion."
WOMENSLAW,,,,"womenslaw.org Legal resources for victims of abuse, and an Email Hotline providing information related to domestic violence, sexual assault, or stalking."
FIRST RESPONDERS,,,,
FIRST RESPONDER BEHAVIORAL HEALTH TRAINING,713-500-3599,,,"uthealth.catalog.instructure.com/browse/heroes Free, research-based courses providing first re- sponders across Texas with the tools and infor- mation necessary to recognize and address symp- toms of substance use and mental health disorders in themselves or others. Courses are provided by UTHealth Houston and are available to any career or volunteer first responder (law enforcement of- ficer, firefighter, dispatcher, EMT, paramedic), ac- tive or retired, in Texas."
TEXAS LAW ENFORCEMENT PEER NETWORK,972-338-1314,,,"untdallas.edu/cpi/tlepn Free program designed to give every Texas law en- forcement officer access to a specially trained peer to address stressors, trauma, fatigue, and other needs to combat workforce burnout and end police suicide and self-harm."
HIV/AIDS CARE,,,,
ALAMO AREA RESOURCE CENTER,210-625-7200,,,"aarcsa.com 303 N. Frio Alamo Area Resource Center (AARC) provides short -term rental, mortgage and utility assistance (STRMU), tenant-based rental assistance (TBRA), and housing case management for people living with HIV."
SAN ANTONIO AIDS FOUNDATION,210-225-4715,,,sanantonioaids.org 818 E. Grayson
CARSON HOUSE,,,,"Transitional housing for homeless men, women, and transgender individuals living with HIV/AIDS. Residents pay 30% of their adjusted gross monthly income in rent on the 5th of every month."
INTELLECTUAL &,,,,
DEVELOPMENTAL DISABILITIES,,,,
ALAMO AREA COUNCIL OF GOVERNMENTS,210-832-5020,,,"Operates as the local intellectual and developmen- tal disability authority for Bexar County aacog.com/IDDServices 2700 NE Loop 410, Suite 101 Operates as the local intellectual and developmen- tal disability authority for Bexar County providing service coordination for individuals with intellectual & developmental disability (IDD)."
CENTER FOR HEALTHCARE SERVICES	,210-261-2427,,,"chcsbc.org People living with IDD deserve to live life to its full- est, and may require long-term services and sup- ports indefinitely. By promoting dignity and choice for adults with IDD, the CHCS Long-Term Care Ser- vices help improve the quality of life for consumers and their loved ones through programs designed for inclusivity, accessibility, and independence."
THE ARC OF SAN ANTONIO,210-490-4300,,,arc-sa.org The Arc of San Antonio serves as a social service home in Bexar and surrounding counties to children and adults with intellectual and developmental dis- abilities (IDD) and assists their families during all phases of life.
CALIDAD ,,227 W. Drexel,,
DAY HABILITATION 210-261-3706,,,,"Activities to help intellectually disabled individuals become more independent in daily and personal skills. Provides assistance with acquiring, retaining, or improving self-help, socialization, and adaptive skills necessary to live successfully in the community and to participate in home and community life."
EMPLOYMENT CONNECTIONS 210-261-3419,,,,"The employment team provides assistance in attain- ing and sustaining competitive, integrated employ- ment in the community to include résumé building, interviewing skills, job placement and job coaching to all Bexar County residents with disabilities."
EISENHAUER GROUP HOME $,210-261-3419,2927 Eisenhauer Road,,"10-bed group home for individuals with an intellec- tual or developmental disability. Facility provides 24 -hour residential services for individuals who do not live independently or with their natural family. In- cludes meals, medication management, transporta- tion, living skills, leisure/recreational activities and support."
HOME & COMMUNITY-BASED SERVICES $,210-261-3419,,,"Medicaid Waiver Program that provides services to people of all ages with an intellectual or develop- mental disability, related condition, or both, who live with their families or in their own home. To maintain optimal quality of life, we provide services to help with needs related to daily living, independ- ent living and leisure/recreational activities."
MULTI-ASSISTANCE CENTER (MAC),210-817-3935,5210 Thousand Oaks Dr.,,morganswonderlandmac.com Community Center for Individuals with Disabilities and Special Needs that provides comprehensive and coordinated services.
PREGNANCY,,,,
CASA MIA,210-549-4730,,,casamiasanantonio.com Recovery home helping pregnant and parenting women who are recovering from opioid use disor- ders prioritizing keeping families together.
CATHOLIC CHARITIES,,,,ccaosa.org
GUADALUPE HOME 210-476-0707,,,,"Transitional shelter for pregnant and parenting mothers and their babies who find themselves homeless and are interested in making a change for a hopeful future through full-time education enroll- ment or employment. Case management, parenting education, life skills training, and counseling are provided."
DEPAUL FAMILY CENTER,210-334-2300,7607 Somerset Rd.,,adssa.org/social-services
REALIZING & ACHIEVING YOUR SUCCESS (RAYS),,"Program for individuals that are pregnant or have a child (age 36 months or younger). Program pro- vides material assistance, counseling, classes and guidance.",,
GEORGE GERVIN YOUTH CENTER: BASIC CENTER,210-568-8800,6944 South Sunbelt Drive,,"Pregnant, homeless, and/or runaway individuals (ages 13-17) looking to continue their education in a safe and supportive environment. The Basic Pro- gram provides therapeutic and supportive services and acts as a short- and long-term residential care facility to those whose needs are not adequately met in their current family structure or other shel- ters."
SETON HOME,210-533-3504,1115 Mission Rd.,,"setonhomesa.org Long-term residential program as well as an emer- gency shelter for pregnant and parenting teen mothers and their children in order to break the cy- cle of abuse and poverty by providing a caring home, education, and support services."
VETERANS,,,,
ALAMO COMMUNITY GROUP,210-731-8030,"4606 Centerview Drive, Suite 170",,alamocommunitygroup.org
HOUSE OUR HEROES PROGRAM 210-699-9074,,,,Quality affordable housing and extensive support- ive services to include outreach and case manage- ment to homeless and at-risk veteran families.
BEXAR COUNTY MILITARY AND VETERANS SER-,,,,
VICES CENTER,210-335-6775,"1422 E. Grayson St., 4th Floor",,"bexar.org/509/Military-and-Veterans-Services- Center The Bexar County Military and Veterans Services Center is your advocate, and we can assist and sup- port you with your Veteran Affairs benefit claim fil- ing and provide you vetted resources and assis- tance with eligible VA benefits."
THE ECUMENICAL CENTER	,210-616-0885,8310 Ewing Halsell Drive (Headquarters),,ecrh.org
MILITARY AND VETERAN SUPPORT GROUPS,,,,"510 Belknap Place Endeavors supports the lives and well-being of Vet- erans, active duty service members, and military families, regardless of role while in uniform, dis- charge status, or combat experience by providing tools and services such as free and low-cost coun- seling, mental health support, life skills courses, fit- ness classes, case management, and more. Current groups: Survivors of Loved Ones’ Suicides (SOLOS) and Life After Loss: Grief/Bereavement Support Group. Call for scheduling and enrollment."
HAVEN FOR HOPE	,210-220-2100,1 Haven For Hope Way,,havenforhope.org Haven for Hope’s Veteran’s Service team works with veterans experiencing homelessness beyond their immediate shelter needs. We help them establish Social Security disability and Veterans Affairs bene- fits and apply for other federal and state resources that can greatly improve their quality of life. Intake hours are Monday-Friday: 7:00 a.m.-3:00 p.m.
LAUREL RIDGE TREATMENT CENTER ,210-491-9400,17720 Corporate Woods Drive,,"laurelridgetc.com Our mental health treatment center is proud to sup- port the military and their families. If you are a mili- tary member, we offer specific programs for you, including military trauma programs, military sub- stance abuse programs and more."
NATIONAL VETERANS OUTREACH PROGRAM,210-223-4088,,,agif-nvop.org
VETERANS SERVICE CENTER SAN ANTONIO 210-354-4892,,,,"611 N. Flores, Suite 200 Employment Assistance for Veterans and Homeless Civilians, Housing Intake"
RESIDENTIAL CENTER FOR HOMELESS VETERANS,210-354-4892,"80-bed facility dedicated to the needs of America’s warriors who have been living on the streets. Ser- vices include case management, employment assis- tance, housing assistance, counseling groups, sub- stance use treatment, on-site gym, three meals dai- ly, on-site computer labs, and shuttle services to ap- pointments and job interviews (available by ap- pointment).",,(Request Intake) 519 N. Medina
VETERAN HOUSING AND COUNSELING 210-233-8505,210-617-5300,"206 San Pedro, Suite 200",,"Services that assist very low-income veteran families in obtaining permanent housing. No-cost mental health services provided to Veterans and their local family members. SOUTH TEXAS VETERANS HEALTH CARE SYSTEM  va.gov/south-texas-health-care If you’re struggling with issues like PTSD, depres- sion, grief, anger or trauma, we offer counseling and other support. All VA health care facilities offer same-day help. You may qualify even without enrol- ling in VA health care. Service options include Inpa- tient Hospitalization, Individual Therapy, Group Therapy, Case Management, Medication Manage- ment, Intensive Outpatient Program, Crisis"
TEXAS RIOGRANDE LEGAL AID,833-329-8752,,,trla.org
DRIVER'S LICENSE RESTORATION CLINIC,,1 Haven for Hope Way,,Assists low-income veterans with removing barriers to obtaining driver's licenses. At 1:30 p.m. every Friday; appointments encouraged.
LEGAL AID FOR VETERANS,,,,"Audie L. Murphy Hospital Rec. Rm 7400 Merton Minter Serves low-income veterans and direct dependents with legal issues related to housing, foreclosure, veterans benefits, SNAP/TANF, family law, Social Security benefits, Medicaid/Medicare/CHIP, con- sumer law, and other legal issues. First Wednesday of the month; 9:00 a.m.-12:00 p.m."
VIA BUS,210-362-2020,,,viainfo.net Reduced rates are available for qualifying veteran and U.S. miliary. EACH ONE OF US CAN MAKE A DIFFERENCE. TOGETHER WE CAN MAKE A CHANGE. Barbara Mikulski
BEXAR COUNTY,,,,
DEPARTMENT OF BEHAVIORAL HEALTH,,,,Visit the Department of Behavioral Health website or scan the QR code  Subscribe for Local Behavioral Health Updates Submit Questions and Comments Submit Your Agency for the Directory
